,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,RISK_MM,RainTomorrow,year,quarter,month,day
4,17.5,32.3,1.0,0.0,41.0,11.0,7.0,20.0,82.0,33.0,7.0,8.0,17.8,0,0.2,0,2008,4,12,5
11,15.9,21.7,2.2,6.0,31.0,8.0,15.0,13.0,89.0,91.0,8.0,8.0,15.9,1,15.6,1,2008,4,12,12
12,15.9,18.6,15.6,0.0,61.0,4.0,28.0,28.0,76.0,93.0,8.0,8.0,17.4,1,3.6,1,2008,4,12,13
15,14.1,20.9,0.0,8.0,22.0,14.0,11.0,9.0,69.0,82.0,8.0,1.0,17.2,0,16.8,1,2008,4,12,17
16,13.5,22.9,16.8,0.0,63.0,1.0,6.0,20.0,80.0,65.0,8.0,1.0,18.0,1,10.6,1,2008,4,12,18
28,12.5,24.2,1.2,1.0,50.0,7.0,11.0,22.0,78.0,70.0,8.0,8.0,12.5,1,0.8,0,2008,4,12,30
51,24.4,34.0,0.6,11.0,98.0,4.0,26.0,48.0,60.0,39.0,4.0,1.0,26.1,0,6.4,1,2009,1,1,22
69,18.4,31.2,0.4,12.0,37.0,2.0,7.0,11.0,66.0,31.0,7.0,8.0,18.7,0,0.0,0,2009,1,2,9
72,16.1,21.6,0.0,12.0,46.0,3.0,11.0,15.0,58.0,69.0,2.0,8.0,17.0,0,3.0,1,2009,1,2,12
84,12.9,29.6,0.0,1.0,46.0,1.0,7.0,24.0,54.0,14.0,6.0,7.0,18.7,0,0.0,0,2009,1,2,24
85,8.9,31.9,0.0,1.0,43.0,2.0,0.0,17.0,49.0,16.0,7.0,7.0,15.0,0,0.0,0,2009,1,2,25
110,14.6,30.0,0.0,3.0,37.0,6.0,4.0,19.0,56.0,30.0,3.0,1.0,18.1,0,0.0,0,2009,1,3,22
113,15.4,22.3,0.4,8.0,30.0,9.0,11.0,9.0,69.0,78.0,8.0,8.0,18.3,0,1.8,1,2009,1,3,25
122,18.4,28.1,8.6,0.0,98.0,6.0,7.0,17.0,92.0,49.0,8.0,6.0,19.0,1,12.6,1,2009,2,4,3
129,11.6,26.7,0.0,0.0,48.0,3.0,6.0,11.0,59.0,42.0,8.0,7.0,16.4,0,8.4,1,2009,2,4,10
130,13.0,24.9,8.4,0.0,46.0,14.0,6.0,11.0,75.0,47.0,8.0,6.0,18.0,1,6.2,1,2009,2,4,11
136,6.6,21.6,0.0,1.0,26.0,0.0,6.0,11.0,59.0,39.0,5.0,1.0,12.6,0,0.0,0,2009,2,4,17
143,10.6,16.2,0.0,1.0,39.0,6.0,7.0,4.0,74.0,86.0,8.0,8.0,14.9,0,20.0,1,2009,2,4,24
144,12.9,15.8,20.0,0.0,70.0,4.0,19.0,15.0,83.0,89.0,8.0,8.0,13.3,1,21.0,1,2009,2,4,25
145,8.6,12.9,21.0,4.0,63.0,1.0,26.0,31.0,77.0,62.0,8.0,8.0,9.5,1,3.2,1,2009,2,4,26
146,4.5,11.5,3.2,11.0,26.0,4.0,9.0,13.0,82.0,79.0,8.0,8.0,7.6,1,4.8,1,2009,2,4,27
147,7.6,14.5,4.8,1.0,35.0,0.0,15.0,20.0,83.0,48.0,8.0,1.0,10.1,1,0.0,0,2009,2,4,28
151,7.2,19.2,0.0,7.0,22.0,0.0,7.0,6.0,81.0,49.0,8.0,4.0,10.1,0,0.0,0,2009,2,5,2
163,6.9,16.3,0.0,1.0,35.0,1.0,17.0,19.0,77.0,59.0,8.0,8.0,10.3,0,0.0,0,2009,2,5,14
164,10.3,16.6,0.0,1.0,54.0,11.0,13.0,19.0,82.0,63.0,8.0,7.0,12.9,0,1.8,1,2009,2,5,15
165,12.4,16.4,1.8,0.0,52.0,2.0,22.0,24.0,82.0,54.0,8.0,8.0,13.0,1,0.0,0,2009,2,5,16
169,5.1,18.6,0.0,14.0,13.0,8.0,2.0,9.0,75.0,57.0,7.0,7.0,12.4,0,0.0,0,2009,2,5,20
174,9.3,20.3,0.0,3.0,31.0,3.0,9.0,22.0,77.0,50.0,2.0,8.0,11.6,0,4.2,1,2009,2,5,25
175,11.6,18.1,4.2,14.0,19.0,9.0,2.0,6.0,97.0,74.0,8.0,3.0,13.6,1,0.8,0,2009,2,5,26
181,8.0,14.3,1.2,12.0,13.0,16.0,0.0,0.0,88.0,75.0,8.0,8.0,9.2,1,1.4,1,2009,2,6,1
182,8.4,13.4,1.4,12.0,13.0,13.0,0.0,7.0,78.0,75.0,8.0,8.0,10.6,1,4.8,1,2009,2,6,2
183,10.6,14.3,4.8,12.0,13.0,12.0,6.0,9.0,85.0,97.0,8.0,8.0,12.4,1,8.0,1,2009,2,6,3
184,8.9,17.4,8.0,8.0,13.0,14.0,2.0,4.0,99.0,58.0,8.0,7.0,11.3,1,0.0,0,2009,2,6,4
186,1.7,10.5,0.2,13.0,11.0,16.0,4.0,0.0,99.0,91.0,8.0,8.0,4.7,0,14.4,1,2009,2,6,6
187,4.7,11.6,14.4,4.0,30.0,4.0,6.0,17.0,93.0,80.0,8.0,8.0,10.0,1,4.6,1,2009,2,6,7
188,9.0,12.0,4.6,1.0,33.0,1.0,9.0,26.0,88.0,79.0,8.0,8.0,10.3,1,2.0,1,2009,2,6,8
189,6.3,8.8,2.0,0.0,43.0,1.0,13.0,13.0,92.0,95.0,8.0,8.0,6.8,1,5.6,1,2009,2,6,9
192,-1.3,8.2,0.0,13.0,15.0,9.0,6.0,6.0,99.0,72.0,8.0,7.0,1.9,0,0.0,0,2009,2,6,12
200,0.9,17.3,0.0,6.0,28.0,3.0,4.0,17.0,85.0,56.0,7.0,8.0,7.0,0,1.6,1,2009,2,6,20
201,7.0,17.0,1.6,8.0,46.0,8.0,4.0,20.0,99.0,71.0,1.0,1.0,8.3,1,5.6,1,2009,2,6,21
202,5.0,14.9,5.6,12.0,19.0,8.0,4.0,6.0,99.0,78.0,1.0,8.0,9.1,1,0.0,0,2009,2,6,22
203,3.9,15.5,0.0,0.0,35.0,9.0,11.0,7.0,99.0,70.0,8.0,6.0,8.3,0,6.0,1,2009,2,6,23
204,7.7,14.1,6.0,13.0,41.0,12.0,7.0,9.0,81.0,65.0,8.0,5.0,9.6,1,0.0,0,2009,2,6,24
205,4.7,12.2,0.0,4.0,24.0,5.0,2.0,13.0,99.0,75.0,7.0,8.0,6.9,0,4.4,1,2009,2,6,25
207,8.4,11.9,0.0,9.0,22.0,12.0,7.0,6.0,79.0,81.0,8.0,8.0,10.3,0,5.4,1,2009,2,6,27
208,9.3,12.3,5.4,0.0,22.0,4.0,9.0,11.0,98.0,76.0,7.0,8.0,9.8,1,3.6,1,2009,2,6,28
209,8.2,15.7,3.6,3.0,26.0,6.0,9.0,15.0,91.0,69.0,8.0,8.0,10.1,1,2.0,1,2009,2,6,29
210,9.1,16.1,2.0,11.0,72.0,3.0,11.0,19.0,78.0,73.0,8.0,8.0,13.5,1,8.4,1,2009,2,6,30
211,8.3,13.3,8.4,11.0,52.0,11.0,20.0,22.0,85.0,68.0,8.0,5.0,9.5,1,5.0,1,2009,3,7,1
212,8.8,11.6,5.0,1.0,54.0,1.0,19.0,19.0,88.0,74.0,8.0,4.0,8.8,1,7.8,1,2009,3,7,2
213,7.6,12.0,7.8,0.0,61.0,2.0,17.0,22.0,82.0,62.0,8.0,1.0,7.8,1,0.0,0,2009,3,7,3
214,5.7,13.2,0.0,1.0,39.0,1.0,15.0,24.0,91.0,76.0,8.0,8.0,7.9,0,0.0,0,2009,3,7,4
221,4.8,13.3,0.6,3.0,24.0,3.0,0.0,13.0,96.0,63.0,7.0,1.0,8.1,0,0.6,0,2009,3,7,11
222,8.1,16.5,0.6,4.0,33.0,4.0,7.0,19.0,77.0,53.0,2.0,6.0,11.6,0,1.0,0,2009,3,7,12
223,5.9,13.1,1.0,1.0,41.0,4.0,13.0,11.0,82.0,73.0,8.0,8.0,9.0,0,6.8,1,2009,3,7,13
224,6.9,11.0,6.8,0.0,30.0,15.0,9.0,9.0,94.0,75.0,8.0,8.0,7.5,1,1.8,1,2009,3,7,14
228,-1.0,12.0,0.0,5.0,20.0,5.0,0.0,11.0,98.0,64.0,7.0,5.0,3.2,0,0.6,0,2009,3,7,18
229,3.2,14.1,0.6,6.0,24.0,3.0,7.0,11.0,94.0,65.0,8.0,8.0,7.8,0,0.2,0,2009,3,7,19
232,6.6,12.3,0.0,0.0,44.0,4.0,7.0,20.0,74.0,81.0,7.0,8.0,11.3,0,9.8,1,2009,3,7,22
233,6.0,13.5,9.8,1.0,26.0,0.0,13.0,17.0,83.0,58.0,7.0,7.0,8.5,1,0.0,0,2009,3,7,23
237,1.3,8.8,0.0,5.0,20.0,4.0,6.0,9.0,99.0,91.0,8.0,8.0,4.2,0,3.8,1,2009,3,7,27
238,4.2,12.7,3.8,1.0,31.0,1.0,11.0,11.0,89.0,71.0,8.0,8.0,8.8,1,2.4,1,2009,3,7,28
239,8.3,13.2,2.4,1.0,24.0,2.0,11.0,9.0,98.0,81.0,8.0,8.0,9.3,1,0.2,0,2009,3,7,29
240,3.3,12.1,0.2,4.0,22.0,1.0,0.0,9.0,99.0,76.0,7.0,7.0,6.5,0,5.2,1,2009,3,7,30
241,6.5,14.5,5.2,0.0,35.0,2.0,19.0,22.0,81.0,61.0,5.0,8.0,11.6,1,0.2,0,2009,3,7,31
242,7.4,13.9,0.2,0.0,30.0,1.0,0.0,15.0,99.0,70.0,7.0,3.0,8.9,0,0.8,0,2009,3,8,1
243,7.5,14.1,0.8,4.0,30.0,4.0,2.0,17.0,94.0,65.0,1.0,6.0,10.5,0,0.8,0,2009,3,8,2
246,5.7,13.8,5.4,6.0,19.0,10.0,7.0,7.0,98.0,76.0,8.0,8.0,8.9,1,0.4,0,2009,3,8,5
248,8.0,13.9,0.8,1.0,57.0,2.0,35.0,33.0,79.0,47.0,8.0,8.0,9.8,0,4.2,1,2009,3,8,7
252,5.9,17.7,0.4,6.0,43.0,4.0,19.0,22.0,62.0,59.0,1.0,1.0,14.8,0,4.8,1,2009,3,8,11
253,6.9,14.3,4.8,0.0,24.0,11.0,6.0,13.0,99.0,74.0,8.0,8.0,9.1,1,0.2,0,2009,3,8,12
254,7.7,11.6,0.2,11.0,22.0,5.0,6.0,13.0,94.0,87.0,8.0,7.0,9.4,0,1.2,1,2009,3,8,13
257,5.1,15.5,1.6,0.0,39.0,8.0,11.0,11.0,79.0,70.0,8.0,8.0,11.0,1,3.2,1,2009,3,8,16
260,1.6,16.4,0.0,14.0,17.0,10.0,7.0,7.0,99.0,61.0,8.0,1.0,5.5,0,0.0,0,2009,3,8,19
262,7.3,14.8,1.0,1.0,59.0,2.0,26.0,30.0,72.0,85.0,3.0,8.0,13.3,0,6.6,1,2009,3,8,21
264,5.8,18.9,3.8,6.0,26.0,6.0,7.0,11.0,94.0,67.0,3.0,3.0,10.8,1,1.2,1,2009,3,8,23
270,7.2,17.9,4.2,0.0,59.0,0.0,20.0,19.0,81.0,80.0,1.0,8.0,13.0,1,13.4,1,2009,3,8,29
271,6.3,11.1,13.4,1.0,56.0,0.0,26.0,20.0,77.0,57.0,8.0,8.0,6.7,1,1.4,1,2009,3,8,30
272,6.7,14.2,1.4,11.0,39.0,11.0,19.0,22.0,90.0,72.0,7.0,5.0,9.7,1,3.0,1,2009,3,8,31
273,5.1,14.2,3.0,1.0,24.0,0.0,7.0,15.0,96.0,58.0,8.0,1.0,9.7,1,0.0,0,2009,3,9,1
280,5.7,16.5,0.0,0.0,46.0,2.0,7.0,30.0,90.0,59.0,5.0,4.0,9.4,0,0.0,0,2009,3,9,8
281,7.5,14.3,0.0,0.0,35.0,1.0,17.0,22.0,82.0,67.0,8.0,8.0,9.5,0,0.0,0,2009,3,9,9
290,5.4,20.6,0.0,4.0,22.0,1.0,6.0,11.0,98.0,46.0,8.0,8.0,10.2,0,0.4,0,2009,3,9,19
293,11.5,20.2,8.4,6.0,50.0,5.0,17.0,13.0,77.0,55.0,8.0,1.0,15.5,1,28.8,1,2009,3,9,22
294,9.3,16.8,28.8,0.0,56.0,2.0,26.0,30.0,82.0,54.0,5.0,8.0,13.1,1,1.4,1,2009,3,9,23
296,5.3,20.6,0.0,4.0,44.0,5.0,22.0,13.0,60.0,57.0,2.0,7.0,15.2,0,6.0,1,2009,3,9,25
297,6.8,12.2,6.0,1.0,56.0,0.0,37.0,24.0,79.0,72.0,7.0,6.0,7.9,1,1.6,1,2009,3,9,26
298,4.5,12.9,1.6,0.0,61.0,0.0,35.0,37.0,78.0,72.0,5.0,8.0,6.7,1,0.0,0,2009,3,9,27
304,8.5,13.5,3.2,9.0,31.0,13.0,17.0,11.0,87.0,75.0,7.0,7.0,9.6,1,1.8,1,2009,4,10,3
307,5.2,16.2,0.0,12.0,37.0,9.0,6.0,15.0,85.0,77.0,2.0,2.0,8.8,0,3.6,1,2009,4,10,6
314,6.6,17.7,2.0,5.0,50.0,11.0,17.0,30.0,70.0,71.0,7.0,6.0,10.8,1,7.0,1,2009,4,10,13
315,9.5,15.1,7.0,0.0,65.0,0.0,26.0,30.0,88.0,60.0,8.0,1.0,10.3,1,1.4,1,2009,4,10,14
316,9.7,15.7,1.4,1.0,50.0,2.0,15.0,22.0,79.0,84.0,8.0,8.0,11.1,1,6.8,1,2009,4,10,15
353,19.3,21.0,10.6,3.0,37.0,9.0,9.0,9.0,95.0,91.0,8.0,8.0,19.7,1,25.8,1,2009,4,11,21
354,18.3,28.3,25.8,4.0,61.0,0.0,0.0,46.0,98.0,67.0,8.0,8.0,19.2,1,0.4,0,2009,4,11,22
358,21.0,34.5,0.0,5.0,78.0,1.0,13.0,39.0,48.0,70.0,1.0,4.0,28.2,0,10.2,1,2009,4,11,26
359,15.9,26.2,10.2,5.0,24.0,16.0,11.0,0.0,82.0,56.0,7.0,5.0,17.6,1,0.0,0,2009,4,11,27
360,17.1,26.4,0.0,0.0,52.0,11.0,24.0,24.0,48.0,27.0,2.0,1.0,18.8,0,9.4,1,2009,4,11,28
361,12.8,22.3,9.4,1.0,46.0,1.0,6.0,19.0,94.0,54.0,8.0,4.0,13.5,1,2.4,1,2009,4,11,29
362,13.2,23.9,2.4,12.0,50.0,12.0,9.0,24.0,82.0,35.0,3.0,1.0,15.9,1,0.0,0,2009,4,11,30
